"DOY" "Depth" "POP"
275 200.2 0.003
275 3.6 0.006
275 29.3 0.005
275 50.7 0.01
275 100.6 0.005
275 120.1 0.005
275 150.7 0.004
275 201.4 0.002
275 3 0.007
275 20.1 0.006
275 39.4 0.007
275 80.9 0.009
275 100.8 0.006
275 120.9 0.008
275 149.6 0.005
275 201 0.003
276 3.1 0.006
276 29.4 0.006
276 49.2 0.008
276 79.3 0.006
276 100 0.005
276 125.2 0.004
276 149.6 0.004
276 200.4 0.002
277 3.5 0.008
277 30.5 0.007
277 49.2 0.007
277 79.9 0.005
277 100.7 0.007
277 121.3 0.007
277 150.7 0.004
277 201.5 0.001
279 3.6 0.011
279 19.7 0.005
279 40.8 0.009
279 79.9 0.01
279 100.6 0.01
279 120.4 0.009
279 150.8 0.006
279 200.5 0.003
279 300.4 0.003
280 3.8 0.017
280 19.2 0.009
280 40.6 0.011
280 78.9 0.011
280 119 0.009
280 150.3 0.007
280 202.4 0.003
280 298.8 0.002
281 3.1 0.007
281 19.9 0.009
281 39.8 0.007
281 78.6 0.01
281 99.4 0.006
281 119.1 0.007
281 149.7 0.004
281 200.1 0.001
281 299.7 0.002
285 2.8 0.008
285 20.1 0.008
285 41.3 0.011
285 80.2 0.011
285 100.7 0.009
285 120.8 0.007
285 150.7 0.004
285 199.8 0.004
285 300.6 0.002
270 3.3 0.011
270 39.6 0.014
270 80.7 0.013
270 101.1 0.015
270 119.6 0.009
270 150.4 0.008
270 200.6 0.006
270 300 0.004
270 2.9 0.009
270 39.9 0.008
270 79.2 0.013
270 100.2 0.014
270 119.2 0.007
270 149.6 0.004
270 201 0.004
270 346.2 0.002
271 3 0.011
271 40.6 0.01
271 78.6 0.013
271 99.9 0.007
271 118.1 0.005
271 149.7 0.004
271 200.1 0.003
271 300.7 0.003
272 3.8 0.005
272 40.2 0.007
272 80.9 0.007
272 100.7 0.007
272 120.1 0.004
272 150.5 0.002
272 198.7 0.002
272 301.8 0.002
272 4 0.005
272 39.9 0.006
272 80 0.006
272 99.8 0.009
272 120 0.005
272 150.5 0.003
272 199.7 0.002
272 300.8 0.001
273 2.7 0.005
273 40.2 0.009
273 81 0.006
273 108.3 0.006
273 120.5 0.005
273 139.5 0.004
273 200.1 0.002
273 319.9 0.002
274 4.4 0.005
274 39.4 0.005
274 79.9 0.008
274 100.4 0.008
274 120.6 0.007
274 139.8 0.005
274 196.4 0.003
274 301.1 0.002
274 4.1 0.005
274 39.7 0.006
274 78.6 0.007
274 100.4 0.007
274 119.2 0.006
274 149.1 0.004
274 200.3 0.003
274 300.5 0.003
275 3 0.005
275 39.9 0.005
275 79.7 0.008
275 100.1 0.006
275 119.1 0.005
275 139.3 0.004
275 199.5 0.003
275 299.5 0.002
275 3.8 0.006
275 40.1 0.005
275 80.5 0.005
275 102.5 0.008
275 120.4 0.005
275 149.4 0.003
275 200.8 0.002
275 299.8 0.002
279 3.5 0.01
279 40.3 0.005
279 79.7 0.006
279 100.1 0.008
279 119.7 0.007
279 150.9 0.004
279 200.8 0.003
279 301.4 0.002
280 3.8 0.009
280 39.8 0.007
280 79.6 0.009
280 99.8 0.008
280 119.1 0.009
280 150.7 0.007
280 199.1 0.003
280 298.9 0.001
280 4 0.008
280 38.8 0.006
280 81 0.007
280 99.7 0.005
280 120.2 0.009
280 148.3 0.004
280 199.8 0.002
280 301.3 0.002
281 3.6 0.005
281 39.4 0.005
281 79.4 0.009
281 99.5 0.009
281 118.8 0.007
281 148.8 0.005
281 199.1 0.003
281 299.4 0.002
282 3.8 0.007
282 39.9 0.01
282 79.5 0.01
282 100.2 0.011
282 119.7 0.008
282 150.5 0.004
282 200.4 0.003
282 299.8 0.002
283 3.8 0.007
283 39.2 0.009
283 79.2 0.009
283 98.2 0.012
283 119.6 0.008
283 150.4 0.004
283 198.6 0.004
283 300.5 0.002
283 3.2 0.007
283 40.6 0.011
283 79.6 0.009
283 99.4 0.008
283 120.1 0.007
283 149.9 0.003
283 201 0.003
283 299.4 0.002
261 5.3 0.008
261 40.7 0.009
261 80.6 0.008
261 100.7 0.007
261 121.7 0.007
261 150.1 0.002
261 251.6 0.002
261 300.8 0.003
262 2.8 0.006
262 39.7 0.011
262 78.4 0.01
262 99.2 0.007
262 120.4 0.006
262 150.1 0.003
262 200.2 0.003
262 300.6 0.001
262 3.8 0.004
262 41.3 0.008
262 80.4 0.011
262 100.6 0.007
262 121.5 0.004
262 150.5 0.004
262 200 0.003
262 300.2 0.002
263 3.1 0.004
263 40.6 0.008
263 80.3 0.007
263 101 0.01
263 120.1 0.007
263 151.1 0.004
263 200 0.003
263 302.9 0.002
263 2.7 0.005
263 39.8 0.005
263 78.6 0.006
263 100.4 0.007
263 152.4 0.004
263 200.1 0.003
263 300.1 0.002
264 5.3 0.004
264 40.8 0.005
264 79.4 0.007
264 100.1 0.006
264 119.8 0.004
264 150 0.004
264 200.6 0.003
264 299.7 0.002
264 2.1 0.007
264 41.5 0.005
264 79.5 0.007
264 99 0.006
264 122.4 0.006
264 150.2 0.004
264 199.7 0.003
264 298.3 0.001
265 3.5 0.006
265 40 0.006
265 80.3 0.007
265 100.4 0.006
265 119.8 0.007
265 150.6 0.004
265 200 0.002
265 300.3 0.003
268 3.6 0.008
268 39.2 0.008
268 80.1 0.008
268 100 0.008
268 120.6 0.007
268 150.2 0.003
268 200 0.002
268 300.6 0.001
268 19.6 0.007
268 79.9 0.007
268 119.9 0.006
268 149.3 0.003
268 200.9 0.002
268 298.5 0.003
268 399.2 0.002
269 3.3 0.008
269 41.3 0.007
269 81.1 0.009
269 100.8 0.008
269 151 0.007
269 201.3 0.004
269 301.4 0.002
270 3 0.005
270 40.5 0.004
270 80.2 0.007
270 101.3 0.007
270 119.8 0.009
270 149.9 0.003
270 200.7 0.002
270 300.2 0.001
271 3.6 0.005
271 39.2 0.008
271 80 0.011
271 99.7 0.007
271 121 0.007
271 151.1 0.002
271 305.4 0.001
271 396.8 0.001
