"DOY" "Depth" "DIP"
301 300 0.22
301 499.3 0.54
301 149.6 0.03
301 200 0.1
301 250.8 0.13
301 299.5 0.2
301 400.7 0.39
301 3.2 0.028
301 20.2 0.019
301 41.4 0.013
301 59.7 0.028
301 80.3 0.014
301 100.9 0.01
301 120.8 0.04
301 150.7 0.05
301 149.6 0.066
301 199.9 0.069
301 248.7 0.095
301 300.8 0.158
302 201 0.05
302 246.5 0.14
302 300.3 0.18
302 399.6 0.43
302 2.9 0.025
302 20.8 0.018
302 39.7 0.032
302 60.3 0.015
302 80.4 0.021
302 99.9 0.04
302 99.5 0.047
302 119.2 0.016
302 150.9 0.023
302 200.2 0.198
302 249.9 0.268
302 298.7 0.323
303 100.6 0.14
303 120.5 0.03
303 149.8 0.1
303 200 0.1
303 300.4 0.22
303 200 0.06
303 300.7 0.21
303 401.4 0.49
304 200.4 0.09
304 299 0.24
171 5.3 0.08
171 20.6 0.09
171 40.7 0.06
171 50.3 0.39
171 61 0.74
171 100.6 0.14
171 140.8 0.84
171 105.3 1.29
171 301 1.69
171 401.2 1.65
172 48.7 0.02
172 140.3 0.14
172 199.9 0.2
172 301 0.39
172 3.5 0.03
172 20.2 0.04
172 40.6 0.04
172 61.1 0.04
172 80 0.04
172 100.6 0.08
172 121 0.09
172 200.9 0.12
172 401.2 0.18
173 3.2 0.03
173 19.8 0.04
173 39.6 0.04
173 60.3 0.04
173 80.8 0.05
173 100.6 0.06
173 121.2 0.06
173 200.3 0.12
173 399.9 0.14
173 3.5 0.04
173 39.4 0.04
173 79.8 0.03
173 100.7 0.04
173 120.9 0.06
173 201.1 0.12
173 401.8 0.14
173 2.8 0.03
173 40.5 0.04
173 60.3 0.03
173 80.3 0.07
173 100.6 0.1
173 121.6 0.1
173 201.8 0.11
173 399.1 0.13
174 3.7 0.03
174 20.6 0.03
174 40 0.03
174 59.5 0.04
174 80 0.03
174 101.8 0.03
174 120.2 0.04
174 140 0.06
174 200.7 0.18
174 301.3 0.44
174 400.9 0.8
174 3.1 0.03
174 20.4 0.03
174 40.4 0.03
174 61.1 0.04
174 79.8 0.04
174 100.3 0.07
174 120.6 0.11
174 201.1 0.13
174 299.8 0.16
174 401.8 0.22
291 3.7 0.04
291 20.6 0.03
291 41.7 0.03
291 60.9 0.03
291 81.1 0.04
291 98.8 0.04
291 121.1 0.08
291 140.6 0.11
291 201.2 0.14
291 301.2 0.15
291 401.2 0.25
291 499.4 0.4
292 3 0.03
292 20.1 0.03
292 41.4 0.03
292 61.3 0.03
292 80.9 0.03
292 99.1 0.03
292 120.6 0.04
292 140.3 0.04
292 158.9 0.09
292 200.1 0.15
292 299.4 0.2
292 399.7 0.25
292 139.8 0.03
292 199.1 0.11
292 238.5 0.12
292 301.8 0.16
293 200.1 0.09
293 299.9 0.19
293 361.9 0.23
293 498.9 0.47
293 160.7 0.05
293 200.3 0.15
293 301.2 0.16
293 499.9 0.51
293 200.1 0.14
293 298.4 0.22
294 3 0.02
294 199.6 0.13
294 315.5 0.2
294 401.9 0.36
294 198 0.03
294 301.1 0.37
294 403.3 0.37
294 200 0.04
294 349.3 0.14
294 400.4 0.19
295 252.3 0.03
295 298.8 0.12
295 400 0.33
295 299.2 0.13
295 202.1 0.06
295 300.6 0.08
296 57.7 0.05
296 140.3 0.02
296 202.6 0.07
296 301.8 0.16
296 200.7 0.08
296 298.5 0.05
296 381.3 0.12
297 197.3 0.09
297 299.9 0.16
297 249.3 0.09
297 350.8 0.15
298 250.6 0.1
298 348.1 0.14
298 497 0.8
299 120.3 0.02
299 139.4 0.1
299 194.1 0.13
299 300.3 0.12
299 301 1.48
302 239.9 0.12
302 280.7 0.17
302 319.9 0.23
330 99.8 0.04
330 121.6 0.07
330 200.9 0.09
330 300 0.16
330 404.6 0.2
330 4.3 0.04
330 100.5 0.04
330 120.8 0.05
330 202.8 0.07
330 300.1 0.16
346 40.6 0.006
346 59.5 0.009
346 80.1 0.007
346 99.3 0.008
346 120.7 0.014
346 140 0.043
346 200.7 0.11
346 300.7 0.12
346 401.1 0.19
346 5 0.001
346 40.2 0.006
346 58.7 0.005
346 80.4 0.003
346 99.4 0.007
346 140.7 0.081
346 200.8 0.091
347 40.1 0.007
347 61.6 0.004
347 80.8 0.016
347 101 0.066
347 121.4 0.05
347 141.5 0.072
347 202 0.111
347 301.1 0.04
347 402.7 0.03
347 3.4 0.014
347 39.1 0.012
347 60.5 0.006
347 81.9 0.008
347 99.4 0.025
347 119.3 0.065
347 138.9 0.075
347 199.8 0.119
348 4.4 0.008
348 42.1 0.006
348 60.9 0.007
348 81.8 0.015
348 101.6 0.013
348 117.7 0.036
348 139.1 0.061
348 201.4 0.032
348 402.2 0.03
348 3.4 0.007
348 40.2 0.004
348 60.5 0.003
348 79 0.006
348 99.6 0.221
348 120.4 0.044
348 140.8 0.126
348 199.7 0.095
348 3.8 0.015
348 40.8 0.057
348 60.5 0.182
348 80.8 0.328
348 101.3 0.444
348 120.6 0.488
348 138.2 0.521
348 199.8 0.566
348 302.2 1.28
289 83.9 0.016
289 100.3 0.029
289 120.7 0.063
289 138.5 0.05
289 201.6 0.08
289 201 0.098
289 300.3 0.171
290 61.1 0.009
290 119.7 0.005
290 139.4 0.018
290 201.8 0.09
290 201.5 0.121
290 302.4 0.16
290 302.3 0.178
291 40.7 0.003
291 59.6 0.001
291 120.5 0.012
291 140.1 0.01
291 198.7 0.08
291 198.7 0.111
291 301 0.16
291 301.1 0.171
291 119.3 0.009
291 139.1 0.025
291 198.4 0.1
291 300.4 0.187
291 2.1 0.012
291 40.7 0.009
291 81.1 0.006
291 100.3 0.002
291 121.2 0.018
291 141.4 0.004
291 199.6 0.07
291 199.2 0.092
291 302 0.168
292 2.7 0.007
292 19.3 0.001
292 59.9 0.004
292 80 0.007
292 119.9 0.004
292 139.7 0.015
292 199.9 0.04
292 199.5 0.082
292 300 0.153
292 3.2 0.001
292 20.1 0.001
292 39.4 0.007
292 60.2 0.004
292 80.1 0.001
292 99.6 0.002
292 119.1 0.003
292 139.7 0.002
292 200.7 0.07
292 301.5 0.15
292 301.1 0.163
292 3 0.002
292 20.1 0.001
292 40.8 0.003
292 81.3 0.004
292 99.9 0.004
292 120.1 0.006
292 139.8 0.003
292 200.5 0.013
292 301.8 0.12
292 302.4 0.14
293 18.6 0.001
293 39.8 0.003
293 58.4 0.01
293 80.4 0.003
293 111 0.003
293 138.1 0.007
293 199.1 0.023
293 299.9 0.148
293 3.2 0.002
293 21.1 0.002
293 40.8 0.001
293 119.8 0.002
293 139.6 0.008
293 200.9 0.054
293 300.8 0.158
293 498.8 1.22
294 3.6 0.17
294 4 0.002
294 60.3 0.004
294 99.2 0.001
294 139.3 0.012
294 200.5 0.13
294 300.2 0.582
294 3.1 0.007
294 20.4 0.005
294 40.3 0.007
294 60.5 0.002
294 79.3 0.007
294 98.8 0.01
294 120.2 0.007
294 141 0.038
294 200.5 0.03
294 200.8 0.098
294 299.4 0.617
297 19.9 0.018
297 139.1 0.007
297 199.5 0.094
297 299.7 0.532
297 499.8 1.329
298 199.4 0.177
298 299.7 0.509
290 302.5 0.05
290 497.6 0.07
292 198.5 0.03
292 299.3 0.05
292 498.4 0.21
293 79.9 0.03
293 40.1 0.04
293 201.2 0.03
293 298.7 0.14
293 498.3 0.27
293 80.5 0.03
293 100.7 0.06
293 201.2 0.05
293 301.5 0.04
293 498.6 0.41
294 300.2 0.08
294 200 0.03
294 300.3 0.11
294 199.7 0.05
295 140.7 0.03
295 199.1 0.03
295 300 0.09
295 100 0.04
295 120 0.04
295 200.5 0.07
295 302 0.16
298 5.1 1.16
298 40.7 1.29
298 79.7 1.05
298 119.8 0.94
298 140.2 0.87
298 200.2 0.99
301 180.1 0.5
301 250.4 0.73
301 5.2 0.96
301 51.6 0.86
301 160.8 1.26
301 320.2 0.1
301 401.6 0.06
302 5.4 1.36
302 20.1 1.34
302 40.1 1.41
302 59.9 1.39
302 79.9 1.12
302 100.8 1.03
302 120.9 1.22
302 199.7 1.44
302 299.4 1.09
292 3.8 0.01
292 20.1 0.01
292 48.9 0.012
292 80.7 0.025
292 100.2 0.062
292 120.6 0.086
292 140.3 0.095
292 200.9 0.146
292 301.8 0.09
292 400.8 0.1
292 3.5 0.015
292 19.6 0.013
292 49.8 0.019
292 78.9 0.02
292 99.2 0.056
292 119.3 0.072
292 138.9 0.133
292 199.1 0.132
292 300.4 0.14
292 399.8 0.23
293 5.1 0.01
293 20 0.015
293 48.5 0.009
293 80 0.017
293 100.3 0.074
293 119.8 0.095
293 140.3 0.11
293 200.8 0.163
293 301.2 0.13
293 400.2 0.15
293 3.2 0.011
293 19.6 0.008
293 48.4 0.015
293 79.4 0.009
293 99.2 0.026
293 120 0.051
293 139.2 0.098
293 200.5 0.132
293 300.2 0.11
293 400.3 0.12
294 5.3 0.011
294 20.1 0.009
294 49.9 0.007
294 80.3 0.007
294 100.7 0.008
294 121.9 0.01
294 138 0.025
294 199.8 0.137
294 300.4 0.13
294 400.2 0.18
294 3.6 0.01
294 18.7 0.014
294 50.2 0.011
294 82.1 0.018
294 100.6 0.015
294 120.5 0.014
294 139.7 0.086
294 201.1 0.144
294 301.2 0.12
294 403.1 0.21
295 9.6 0.009
295 50.2 0.01
295 80.3 0.015
295 100 0.011
295 119.7 0.011
295 140.1 0.027
295 200.5 0.134
295 299.8 0.12
295 401.2 0.24
295 9.7 0.008
295 49.1 0.007
295 78.9 0.011
295 99.4 0.007
295 118.6 0.007
295 139.4 0.019
295 199.9 0.066
295 300.1 0.12
295 9.6 0.003
295 48.1 0.006
295 80.1 0.007
295 99.5 0.004
295 118.3 0.006
295 140 0.005
295 200.9 0.072
295 300 0.11
295 399.3 0.12
