"DOY" "Depth" "TIN"
273 99.8 0.17
273 120.2 1.43
273 140.1 1.91
273 159.6 2.37
273 200.4 2.13
273 300.7 2.97
273 400.8 5.02
273 119.1 0.16
273 138.5 3.42
273 160.5 4.36
273 201.9 5.03
273 301.3 11.73
276 120.9 0.28
276 139.6 0.62
276 160.5 1.73
276 200.8 2.03
276 298.2 2.37
276 362.1 3.08
276 397.5 4.59
277 118.6 0.27
277 138.7 1.2
277 158.9 1.77
277 199.9 2.03
277 259.3 2.39
277 300.9 3.02
277 398.1 5.29
277 140.4 0.08
277 160.4 0.98
277 200.4 2.58
277 261.5 3.99
277 300.5 4.75
277 399.3 6.4
277 139.6 0.16
277 160.6 0.96
277 199.3 2.74
277 260.5 4.18
277 301.2 4.75
277 400.4 6.64
278 140.3 0.08
278 159.9 1.61
278 199 2.1
278 239.6 2.31
278 299.5 3.65
278 399.1 2.53
278 140.1 0.11
278 160.5 0.43
278 200.3 2.41
278 240.1 3.39
278 301.1 4.47
278 380.7 5.68
279 140.5 0.1
279 160.4 1.01
279 201.1 3.02
279 239.7 4.14
279 299.9 4.75
279 398.7 7.74
279 139.7 0.28
279 199.2 1.02
279 239.4 2.75
279 299.7 4.65
279 359.7 5.37
279 120.2 0.3
279 140.1 0.82
279 160.7 1.58
279 201.4 0.75
279 301.1 4.17
279 361.9 4.1
279 401.1 6.71
280 120.3 0.32
280 140.4 0.66
280 159.3 1.04
280 200 1.47
280 302.1 5.05
280 401.5 6.92
280 119 0.13
280 159.7 0.16
280 200.3 2.81
280 280.2 5.18
280 401.6 9.86
280 100.8 0.29
280 141 0.43
280 161.7 0.69
280 201.9 1.33
280 320.6 5.58
280 401.2 9.53
290 121.1 0.87
290 141.2 2.16
290 159.4 2.91
290 199.8 3.26
290 300.5 4.61
290 401.6 6.76
291 140.1 0.23
291 160.1 0.67
291 200.3 1.3
291 398.6 3.24
291 471.9 3.9
292 100.6 0.13
292 120.4 0.74
292 140 1.43
292 159.6 2.04
292 201.3 3.27
292 310.9 3.08
292 398.4 6.18
293 140.6 0.31
293 160.5 1.99
293 200.3 2.43
293 401.8 6.13
293 3.7 0.06
293 21.4 0.06
293 79.9 0.06
293 99.6 0.06
293 120.4 0.08
293 162 0.17
293 199.9 1.17
293 349.7 5.14
293 400.7 7.56
293 3.7 0.08
293 19.9 0.06
293 119.4 0.06
293 139.7 0.18
293 159.1 0.24
293 201.1 1.6
293 354.5 6.47
293 400.1 7.02
294 2.9 0.06
294 80.4 0.06
294 99.6 0.06
294 120.1 0.06
294 161.8 0.69
294 199.3 1.64
294 342.1 5.27
294 400.7 8.01
294 3.6 0.06
294 140.2 0.26
294 158.9 0.75
294 200.5 1.91
294 316.1 5.5
294 401.6 8.36
295 120.6 0.2
295 140.5 0.52
295 160 1.02
295 200.6 2.02
295 304.8 5.29
295 400.1 9.64
296 139.6 0.12
296 161 0.3
296 200.5 1.37
296 309.8 5.69
296 400.7 9.42
296 140.5 0.13
296 161.2 0.42
296 197.9 2.09
296 300.5 5.45
296 399.8 10.67
300 3.5 0.09
300 20.3 0.08
300 99.6 0.07
300 120.4 0.16
300 140.3 0.38
300 159.9 0.58
300 199.6 1.73
300 305.2 3.71
300 400.5 7
301 3.5 0.18
301 20.8 0.07
301 80.3 0.06
301 100.1 0.13
301 120.3 0.08
301 140.2 0.16
301 157.5 0.42
301 200 1.09
301 364.4 4.55
301 399.9 5.43
296 150.3 0.73
296 200.6 3.5
296 300.5 4.8
296 400 6.01
296 151 1.24
296 201.4 2.19
296 350 4.47
296 400.3 5.28
296 497.6 7.59
296 119.4 0.45
296 150.2 1.26
296 200.8 2.47
296 321.5 4.82
296 400.5 6.06
297 119.5 0.29
297 150.6 1.16
297 200.4 2.23
297 324.7 4.68
297 400 5.94
297 120.9 0.28
297 150.9 1.22
297 201.3 2.38
297 341.4 4.99
297 401.8 6.64
298 149.9 0.11
298 200.8 0.74
298 401.5 4.12
298 430.2 4.17
298 150 0.15
298 199.9 0.93
298 345.3 5.21
298 400.8 6.92
298 150 0.25
298 200.8 5.08
298 320.4 7.9
298 401.7 12.17
299 149 0.19
299 200.6 1.94
299 315.3 5.08
299 399.7 7.84
299 499.8 13.15
299 119.6 0.07
299 149.4 0.14
299 200.1 1.03
299 304.6 4.91
299 399.1 8.58
299 499 13.96
299 151.1 0.72
299 201.9 2.09
299 297.8 4.39
299 402.9 9.26
304 119.5 0.84
304 149.2 1.73
304 200.3 2.77
304 300.5 4.31
304 399.9 5.92
304 499.1 9.89
304 159.6 0.84
304 200.2 2.87
304 318.9 5.16
304 400.4 6.43
290 99.3 0.06
290 118.7 0.77
290 149 1.53
290 201.2 2.45
290 303.3 3.15
290 397.5 4.88
290 120.8 0.07
290 149.9 0.87
290 199.5 2.24
290 280.1 2.83
290 400.5 5.51
290 150.2 0.26
290 199.2 2.72
290 299.7 4.42
290 399.7 5.72
291 120.7 0.22
291 151.4 2.44
291 202 2.69
291 281.5 3.59
291 401.4 6.31
291 148.7 0.1
291 198.6 0.83
291 300.3 3.37
291 398.4 5.08
291 499.3 7.25
291 119.8 0.15
291 150.8 0.75
291 280.5 2.18
291 401.1 3.7
291 498.5 3.92
292 149.3 0.21
292 199.7 1.31
292 290.2 2.89
292 401.2 5.18
292 149.3 0.53
292 200.3 1.04
292 249.8 2.72
292 400.8 5.96
292 149.3 0.52
292 199.7 2.46
292 280 4.93
292 399.1 7.87
293 118.6 0.25
293 150.1 0.91
293 200.4 3.58
293 300 6.68
293 399.7 9.9
293 119.9 0.06
293 150.1 0.31
293 199.9 1.4
293 299.9 4.29
293 399.8 7.3
293 119.2 0.6
293 150.2 0.73
293 200.4 1.94
